,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
12618,2000,38.4236944,8.1708271,No,No,No,Cereals
12619,1950,38.4282762,8.1675538,No,No,No,Cereals
12620,1831,38.340748,7.9685581,No,No,No,Cereals
12622,2900,38.1605941,7.9864931,No,No,No,Cereals
12623,2921,38.1621502,7.9796355,No,No,No,Roots and tubers
12625,2064,38.0819164,7.7604697,No,No,No,Cereals
12626,2211,38.0736993,7.7615581,No,No,No,Cereals
12628,1902,38.6486116,8.1456903,No,No,Yes,Cereals
12629,1904,38.6473886,8.151221,No,No,No,Cereals
12631,2893,38.1548873,7.9771798,No,No,No,Cereals
12632,2884,38.1519761,7.9881714,No,No,No,Cereals
12633,1884,38.1701,7.5959353,No,No,No,Cereals
12634,1909,38.1620357,7.5981495,No,No,No,Cereals
12635,1943,38.0670917,7.4503267,No,No,No,Cereals
12636,1938,38.0665217,7.4450893,No,No,No,Cereals
12637,1828,38.333984,7.957001,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12638,1890,38.1736192,7.6085573,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12639,1902,38.1675997,7.604705,No,No,No,Cereals
12640,1929,38.0713168,7.4501621,No,No,No,Pulses
12641,1934,38.0666007,7.4491869,No,No,No,Vegetables
12642,1955,38.2426975,7.4537359,No,No,No,Cereals
12643,1972,38.243172,7.4622791,No,No,No,Pulses
12644,1803,38.1250778,7.3438476,No,No,No,Vegetables
